#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   155   0.454381E+04  -0.461375E+02   0.210597E-03  -0.461375E+02   0.106434E+01  -0.109463E-05   0.210597E-03  -0.109463E-05   0.730507E-07
   156   0.457549E+04  -0.460499E+02   0.208766E-03  -0.460499E+02   0.105727E+01  -0.108270E-05   0.208766E-03  -0.108270E-05   0.726378E-07
   157   0.460711E+04  -0.459362E+02   0.206959E-03  -0.459362E+02   0.104980E+01  -0.107029E-05   0.206959E-03  -0.107029E-05   0.722285E-07
   158   0.463844E+04  -0.457969E+02   0.205175E-03  -0.457969E+02   0.104202E+01  -0.105745E-05   0.205175E-03  -0.105745E-05   0.718228E-07
   159   0.466947E+04  -0.456320E+02   0.203414E-03  -0.456320E+02   0.103378E+01  -0.104431E-05   0.203414E-03  -0.104431E-05   0.714206E-07
   160   0.470027E+04  -0.454399E+02   0.201675E-03  -0.454399E+02   0.102522E+01  -0.103104E-05   0.201675E-03  -0.103104E-05   0.710218E-07
   161   0.473082E+04  -0.452220E+02   0.199958E-03  -0.452220E+02   0.101644E+01  -0.101780E-05   0.199958E-03  -0.101780E-05   0.706264E-07
   162   0.476105E+04  -0.449782E+02   0.198262E-03  -0.449782E+02   0.100728E+01  -0.100473E-05   0.198262E-03  -0.100473E-05   0.702344E-07
   163   0.479108E+04  -0.447070E+02   0.196585E-03  -0.447070E+02   0.997820E+00  -0.992001E-06   0.196585E-03  -0.992001E-06   0.698458E-07
   164   0.482061E+04  -0.444098E+02   0.194928E-03  -0.444098E+02   0.988140E+00  -0.979764E-06   0.194928E-03  -0.979764E-06   0.694604E-07
   165   0.484993E+04  -0.440842E+02   0.193289E-03  -0.440842E+02   0.978168E+00  -0.968115E-06   0.193289E-03  -0.968115E-06   0.690782E-07
   166   0.487890E+04  -0.437318E+02   0.191668E-03  -0.437318E+02   0.968050E+00  -0.956900E-06   0.191668E-03  -0.956900E-06   0.686992E-07
   167   0.490760E+04  -0.433532E+02   0.190065E-03  -0.433532E+02   0.957561E+00  -0.945904E-06   0.190065E-03  -0.945904E-06   0.683234E-07
   168   0.493583E+04  -0.429465E+02   0.188479E-03  -0.429465E+02   0.947070E+00  -0.934910E-06   0.188479E-03  -0.934910E-06   0.679505E-07
   169   0.496372E+04  -0.425115E+02   0.186909E-03  -0.425115E+02   0.936276E+00  -0.923703E-06   0.186909E-03  -0.923703E-06   0.675807E-07
   170   0.499131E+04  -0.420497E+02   0.185354E-03  -0.420497E+02   0.925400E+00  -0.912066E-06   0.185354E-03  -0.912066E-06   0.672139E-07
   171   0.501845E+04  -0.415591E+02   0.183816E-03  -0.415591E+02   0.914438E+00  -0.899783E-06   0.183816E-03  -0.899783E-06   0.668500E-07
   172   0.504521E+04  -0.410410E+02   0.182292E-03  -0.410410E+02   0.903314E+00  -0.886707E-06   0.182292E-03  -0.886707E-06   0.664889E-07
   173   0.507153E+04  -0.404956E+02   0.180783E-03  -0.404956E+02   0.892030E+00  -0.872962E-06   0.180783E-03  -0.872962E-06   0.661306E-07
   174   0.509755E+04  -0.399227E+02   0.179288E-03  -0.399227E+02   0.880884E+00  -0.858740E-06   0.179288E-03  -0.858740E-06   0.657753E-07
   175   0.512319E+04  -0.393217E+02   0.177810E-03  -0.393217E+02   0.869581E+00  -0.844233E-06   0.177810E-03  -0.844233E-06   0.654228E-07
