#    L    TT             EE             BB             TE          
   368   0.210846E+04   0.202303E+02   0.401155E-01   0.607324E+02
   369   0.209043E+04   0.203283E+02   0.402397E-01   0.589268E+02
   370   0.207279E+04   0.204227E+02   0.403640E-01   0.571090E+02
   371   0.205553E+04   0.205133E+02   0.404886E-01   0.552756E+02
   372   0.203872E+04   0.206010E+02   0.406133E-01   0.534309E+02
   373   0.202236E+04   0.206849E+02   0.407383E-01   0.515722E+02
   374   0.200645E+04   0.207659E+02   0.408635E-01   0.497030E+02
   375   0.199091E+04   0.208431E+02   0.409890E-01   0.478236E+02
   376   0.197590E+04   0.209173E+02   0.411148E-01   0.459339E+02
   377   0.196133E+04   0.209872E+02   0.412410E-01   0.440367E+02
   378   0.194714E+04   0.210533E+02   0.413674E-01   0.421292E+02
   379   0.193341E+04   0.211164E+02   0.414942E-01   0.402158E+02
   380   0.192020E+04   0.211764E+02   0.416214E-01   0.382942E+02
   381   0.190737E+04   0.212300E+02   0.417490E-01   0.363673E+02
   382   0.189492E+04   0.212819E+02   0.418770E-01   0.344359E+02
   383   0.188299E+04   0.213294E+02   0.420055E-01   0.324986E+02
   384   0.187159E+04   0.213725E+02   0.421344E-01   0.305590E+02
   385   0.186050E+04   0.214132E+02   0.422638E-01   0.286158E+02
   386   0.184993E+04   0.214496E+02   0.423937E-01   0.266710E+02
   387   0.183974E+04   0.214815E+02   0.425241E-01   0.247249E+02
   388   0.183000E+04   0.215097E+02   0.426551E-01   0.227787E+02
   389   0.182071E+04   0.215321E+02   0.427866E-01   0.208327E+02
   390   0.181187E+04   0.215536E+02   0.429187E-01   0.188890E+02
   391   0.180348E+04   0.215700E+02   0.430513E-01   0.169461E+02
   392   0.179547E+04   0.215841E+02   0.431846E-01   0.150070E+02
   393   0.178798E+04   0.215930E+02   0.433186E-01   0.130709E+02
